;;?What are the airline hubs of <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/hubs> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/hubs> ?uri };606ecd9c542e4d1d8cd5322a41818757;;;;;;;;;;;;;;;
;Film;What awards were presented to the person who produced <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/producer> ?x . ?x <http://dbpedia.org/property/awards> ?uri . ?x a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?a <http://dbpedia.org/property/producer> ?x . ?x <http://dbpedia.org/property/awards> ?uri . ?x a <http://dbpedia.org/ontology/Person> };f1a4a596441946deabb79234cff39587;;;;;;;;;;;;;;;
;Music;What band had  <A> and <B> as former members ?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/pastMembers> <A> . ?uri <http://dbpedia.org/property/pastMembers> <B> . ?uri a <http://dbpedia.org/ontology/Band> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/pastMembers> ?a . ?uri <http://dbpedia.org/property/pastMembers> ?b . ?uri a <http://dbpedia.org/ontology/Band> };92e3b5727baf4081b7905f89e63e2785;;;;;;;;;;;;;;;
;Music;What band has <A> and <B>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/currentMembers> <A> . ?uri <http://dbpedia.org/property/currentMembers> <B> . ?uri a <http://dbpedia.org/ontology/Band> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/property/currentMembers> ?a . ?uri <http://dbpedia.org/property/currentMembers> ?b . ?uri a <http://dbpedia.org/ontology/Band> };fb88bbd86d0d4401951bf15cad3dc0ad;;;;;;;;;;;;;;;
;Music;What band made <B> and <A> song?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/property/artist> ?uri . <A> <http://dbpedia.org/ontology/musicalArtist> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/artist> ?uri . ?a <http://dbpedia.org/ontology/musicalArtist> ?uri };16115d9103a74efaa5fcb54f18cbde0e;;;;;;;;;;;;;;;
;Music;What band was <A> a part of, and often performed with <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/associatedBand> ?uri . <B> <http://dbpedia.org/ontology/associatedMusicalArtist> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/associatedBand> ?uri . ?b <http://dbpedia.org/ontology/associatedMusicalArtist> ?uri };e4204a1a2f2040a6aadcc27f9ff9c8a0;;;;;;;;;;;;;;;
;Sport;What basketball league's champion is <A>;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/champion> <A> . ?uri a <http://dbpedia.org/ontology/BasketballLeague> };select distinct ?a where { ?uri <http://dbpedia.org/property/champion> ?a . ?uri a <http://dbpedia.org/ontology/BasketballLeague> };7515efe0523a46909195354f0fb0838b;;;;;;;;;;;;;;;
;;What belongs to the families of <B> and <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/family> <B> . ?uri <http://dbpedia.org/ontology/family> <A> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/family> ?b . ?uri <http://dbpedia.org/ontology/family> ?a };ff112c068fe348d99bc382783bc5554f;;;;;;;;;;;;;;;
;;What beverage was launched by <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/creator> <A> . ?uri a <http://dbpedia.org/ontology/Food> };select distinct ?a where { ?uri <http://dbpedia.org/property/creator> ?a . ?uri a <http://dbpedia.org/ontology/Food> };c462b0293c354f19b0a5dee22d388534;;;;;;;;;;;;;;;
;;What beverages originate in <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/origin> <A> . ?uri a <http://dbpedia.org/ontology/Beverage> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/origin> ?a . ?uri a <http://dbpedia.org/ontology/Beverage> };1cad7eba242f4238ab0cece8e171f786;;;;;;;;;;;;;;;
;;What borders <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/border> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/border> ?uri };67b466a2660f466f99bcd5f3bb96785a;;;;;;;;;;;;;;;
;;What borders the valley which falls under <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/municipality> <A> . ?x <http://dbpedia.org/ontology/border> ?uri . ?x a <http://dbpedia.org/ontology/Valley> };select distinct ?a where { ?x <http://dbpedia.org/ontology/municipality> ?a . ?x <http://dbpedia.org/ontology/border> ?uri . ?x a <http://dbpedia.org/ontology/Valley> };2d048077fe044885a1f11a831df39ba7;;;;;;;;;;;;;;;
;;What came before  <B> and uses <A> as OS?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/successor> <B> . ?uri <http://dbpedia.org/property/os> <A> };select distinct ?a, ?b where { ?uri <http://dbpedia.org/ontology/successor> ?b . ?uri <http://dbpedia.org/property/os> ?a };76af8656dedf4ec2bf0348b2eddf906b;;;;;;;;;;;;;;;
;;What can be cooked out of things belonging to the order <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/order> <A> . ?uri <http://dbpedia.org/ontology/ingredient> ?x };select distinct ?a where { ?x <http://dbpedia.org/ontology/order> ?a . ?uri <http://dbpedia.org/ontology/ingredient> ?x };8bdd1143f4044694980167f57d2f1ebd;;;;;;;;;;;;;;;
;;What cars were built upon the cars which were assembled in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/assembly> <A> . ?x <http://dbpedia.org/ontology/predecessor> ?uri . ?x a <http://dbpedia.org/ontology/Automobile> };select distinct ?a where { ?x <http://dbpedia.org/property/assembly> ?a . ?x <http://dbpedia.org/ontology/predecessor> ?uri . ?x a <http://dbpedia.org/ontology/Automobile> };1d60b0de9bd444dabe4c059c4f7fde5f;;;;;;;;;;;;;;;
;Geography;What cities are around the sea which flows <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/inflow> <A> . ?x <http://dbpedia.org/property/cities> ?uri . ?x a <http://dbpedia.org/ontology/Sea> };select distinct ?a where { ?x <http://dbpedia.org/property/inflow> ?a . ?x <http://dbpedia.org/property/cities> ?uri . ?x a <http://dbpedia.org/ontology/Sea> };2eb3f8a41e454021a4af658ede9f06ed;;;;;;;;;;;;;;;
;;What cities are around the valley bordering <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/border> <A> . ?x <http://dbpedia.org/ontology/city> ?uri . ?x a <http://dbpedia.org/ontology/Valley> };select distinct ?a where { ?x <http://dbpedia.org/ontology/border> ?a . ?x <http://dbpedia.org/ontology/city> ?uri . ?x a <http://dbpedia.org/ontology/Valley> };85b8568d9aef45bab5f160d0fd9ad8f9;;;;;;;;;;;;;;;
;;what cities are close by <A>;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/nearestCity> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/nearestCity> ?uri };c1aabd659ada47e2b412d630a3a3814b;;;;;;;;;;;;;;;
;Geography;what cities are located on the sides of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/cities> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/cities> ?uri };a216ea53e375474aa3d2a23273a88807;;;;;;;;;;;;;;;
;;What cities are near to <A> which is also known as Bird Island ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/nearestCity> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/nearestCity> ?uri };ffc2d9ad79e947ae95f0e8795dad6214;;;;;;;;;;;;;;;
;;What cities are nearer to <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/nearestCity> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/nearestCity> ?uri };537bdce8e8dd4a238a2dbb9059f5fe9f;;;;;;;;;;;;;;;
;Geography;What cities does the river goes through, whose tributary is the <A> in Arkansas?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/leftTributary> <A> . ?x <http://dbpedia.org/ontology/city> ?uri . ?x a <http://dbpedia.org/ontology/River> };select distinct ?a where { ?x <http://dbpedia.org/ontology/leftTributary> ?a . ?x <http://dbpedia.org/ontology/city> ?uri . ?x a <http://dbpedia.org/ontology/River> };eaf2ccf4da0d4dd99bf39224e317dcf1;;;;;;;;;;;;;;;
;General;What city gave birth to <B> and also houses <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/birthPlace> ?uri . <A> <http://dbpedia.org/property/location> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/birthPlace> ?uri . ?a <http://dbpedia.org/property/location> ?uri };38e4c90868ed468b94cb549c579f9b57;;;;;;;;;;;;;;;
;Sport;What city has the football team in which <A> debuted?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/debutTeam> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/debutTeam> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri };f2bd28b0ae0d4238b782d5243a20d893;;;;;;;;;;;;;;;
;General;What city in the US was <A> born in, and is the resting place of <B>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/restingPlace> ?uri . <A> <http://dbpedia.org/property/birthPlace> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/restingPlace> ?uri . ?a <http://dbpedia.org/property/birthPlace> ?uri };0a162d878e5549cd8ae6dc4f7072b4f6;;;;;;;;;;;;;;;
;General;What city is it where <B> governs and <A> was born?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/region> ?uri . <A> <http://dbpedia.org/ontology/birthPlace> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/region> ?uri . ?a <http://dbpedia.org/ontology/birthPlace> ?uri };766f8af12e0948349fb3a59be11f74e5;;;;;;;;;;;;;;;
;Geography;What city is located on the mouth of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/riverMouth> ?x . ?x <http://dbpedia.org/property/cities> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/riverMouth> ?x . ?x <http://dbpedia.org/property/cities> ?uri };07b9884b55c94fbe84f471475935e466;;;;;;;;;;;;;;;
;General;What city is the place of birth of <A> which is also the official residence of <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/birthPlace> ?uri . <B> <http://dbpedia.org/property/residence> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/birthPlace> ?uri . ?b <http://dbpedia.org/property/residence> ?uri };6b924d982c704745af8ea66d7f15e044;;;;;;;;;;;;;;;
;;What city is the residence of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/residence> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/residence> ?uri };6229161c4acd41e5ba294a148a25abfb;;;;;;;;;;;;;;;
;;What city was recorded in <B> which is also the official residence of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/recordedIn> ?uri . <A> <http://dbpedia.org/ontology/residence> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/recordedIn> ?uri . ?a <http://dbpedia.org/ontology/residence> ?uri };f6df767b04b1431ab3fbfb73d45d7c56;;;;;;;;;;;;;;;
;;What common relegion affiliation exists for <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/religion> ?uri . <B> <http://dbpedia.org/property/religiousAffiliation> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/religion> ?uri . ?b <http://dbpedia.org/property/religiousAffiliation> ?uri };99518f87aadb4ffdbc84a7b46b300383;;;;;;;;;;;;;;;
;Sport;What common team are <A> and <B> expected to play for?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/prospectTeam> ?uri . <B> <http://dbpedia.org/property/prospectTeam> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/prospectTeam> ?uri . ?b <http://dbpedia.org/property/prospectTeam> ?uri };4e674cf3dbdb4a39a2fc15b0844576f1;;;;;;;;;;;;;;;
;Sport;What common teams do <B> and <A> share?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/team> ?uri . <A> <http://dbpedia.org/ontology/team> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/team> ?uri . ?a <http://dbpedia.org/ontology/team> ?uri };bc77c3a5c2aa48beb648fd70de67488e;;;;;;;;;;;;;;;
;Economy;What companies are located in <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/locationCity> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/locationCity> ?a . ?uri a <http://dbpedia.org/ontology/Company> };861f142fbb834b069b0085c225e1a899;;;;;;;;;;;;;;;
;Computer;What company brought <B> developed the <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/developer> ?uri . <B> <http://dbpedia.org/property/distributor> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/developer> ?uri . ?b <http://dbpedia.org/property/distributor> ?uri };7ad84cbcf92d434bb36c969e41e4969c;;;;;;;;;;;;;;;
;Computer;What company developed <A> and also brought <B> to the market?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/developer> ?uri . <B> <http://dbpedia.org/property/distributor> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/developer> ?uri . ?b <http://dbpedia.org/property/distributor> ?uri };51504ea36f364007a53aea8d7060e17d;;;;;;;;;;;;;;;
;Economy;What company involved in the development of <B> did <A> work for?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/occupation> ?uri . <B> <http://dbpedia.org/ontology/developer> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/occupation> ?uri . ?b <http://dbpedia.org/ontology/developer> ?uri };83248eda73fd4609ac3a9359b62a9a2c;;;;;;;;;;;;;;;
;Economy;What company is the distributor of <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/distributor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/distributor> ?uri };0dd98abb1d704acbaaaf373111ec2b6f;;;;;;;;;;;;;;;
;Economy;What company is the one which wrote the <B> and <A>?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/author> ?uri . <A> <http://dbpedia.org/ontology/author> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/author> ?uri . ?a <http://dbpedia.org/ontology/author> ?uri };f4f5ee1369484c24bff925aa0c0f67c5;;;;;;;;;;;;;;;
;Sport;What company made <A> and is the platform where <B> can be played?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/computingPlatform> ?uri . <A> <http://dbpedia.org/property/developer> ?uri . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/computingPlatform> ?uri . ?a <http://dbpedia.org/property/developer> ?uri . ?uri a <http://dbpedia.org/ontology/Company> };c2998ab4051f4bef95ec8cda3eae919f;;;;;;;;;;;;;;;
;Economy;What company made the <B> and distributed <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/distributor> ?uri . <B> <http://dbpedia.org/property/developer> ?uri . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/distributor> ?uri . ?b <http://dbpedia.org/property/developer> ?uri . ?uri a <http://dbpedia.org/ontology/Company> };7e818c143d0646119c7a6274c4471970;;;;;;;;;;;;;;;
;Economy;What company's founder is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/founder> <A> };select distinct ?a where { ?uri <http://dbpedia.org/property/founder> ?a };3cdc8e8ea823409f959acead754885e6;;;;;;;;;;;;;;;
;Economy;What company's leader is <A>?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/property/keyPeople> <A> . ?uri a <http://dbpedia.org/ontology/Company> };select distinct ?a where { ?uri <http://dbpedia.org/property/keyPeople> ?a . ?uri a <http://dbpedia.org/ontology/Company> };9650115540914f179ceb06bf8beef981;;;;;;;;;;;;;;;
;;What continent of the world has <B> and also has <A> in one of it's cities?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/location> ?uri . <A> <http://dbpedia.org/property/city> ?uri . ?uri a <http://dbpedia.org/ontology/Continent> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/location> ?uri . ?a <http://dbpedia.org/property/city> ?uri . ?uri a <http://dbpedia.org/ontology/Continent> };1afef26545cf4f17bb7933a2939142af;;;;;;;;;;;;;;;
;;What countries used <A> as currency?;SELECT DISTINCT ?uri where { ?uri <http://dbpedia.org/ontology/currency> <A> . ?uri a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?uri <http://dbpedia.org/ontology/currency> ?a . ?uri a <http://dbpedia.org/ontology/Country> };07df56459b9046fa95b983ee02c029e7;;;;;;;;;;;;;;;
;;What country did the successor of <A> swear his oath to?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/predecessor> <A> . ?x <http://dbpedia.org/property/allegiance> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/predecessor> ?a . ?x <http://dbpedia.org/property/allegiance> ?uri };f8dc5dd3cf8c4e4daf406be6479ac498;;;;;;;;;;;;;;;
;;What country had the title of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/title> ?x . ?x <http://dbpedia.org/ontology/country> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/title> ?x . ?x <http://dbpedia.org/ontology/country> ?uri };a5254aca3b244fa1a1736835088e92ea;;;;;;;;;;;;;;;
;;What country is <A> from, which also has the <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/birthPlace> ?uri . <B> <http://dbpedia.org/ontology/country> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/birthPlace> ?uri . ?b <http://dbpedia.org/ontology/country> ?uri };c5ddb0c77d054690b00ec818448e108c;;;;;;;;;;;;;;;
;;What country provides a citizenship too <A> and <B>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/nationality> ?uri . <B> <http://dbpedia.org/ontology/nationality> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/nationality> ?uri . ?b <http://dbpedia.org/ontology/nationality> ?uri };0edab4967312457b82a5c2fc9c82b662;;;;;;;;;;;;;;;
;;What currencies are circulated in the countries where people speak <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/officialLanguage> <A> . ?x <http://dbpedia.org/ontology/currency> ?uri . ?x a <http://dbpedia.org/ontology/Location> };select distinct ?a where { ?x <http://dbpedia.org/ontology/officialLanguage> ?a . ?x <http://dbpedia.org/ontology/currency> ?uri . ?x a <http://dbpedia.org/ontology/Location> };ebde94c05f654d6b8a9dc3a159f815e9;;;;;;;;;;;;;;;
;;What currencies are prevalent in the countries governed by the <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/leaderTitle> <A> . ?x <http://dbpedia.org/ontology/currency> ?uri . ?x a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?x <http://dbpedia.org/property/leaderTitle> ?a . ?x <http://dbpedia.org/ontology/currency> ?uri . ?x a <http://dbpedia.org/ontology/Country> };86c4146411a441b9b7ae67962a14c5a7;;;;;;;;;;;;;;;
;;What currencies are used in the countries which have been governed by <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/leader> <A> . ?x <http://dbpedia.org/ontology/currency> ?uri . ?x a <http://dbpedia.org/ontology/Country> };select distinct ?a where { ?x <http://dbpedia.org/ontology/leader> ?a . ?x <http://dbpedia.org/ontology/currency> ?uri . ?x a <http://dbpedia.org/ontology/Country> };dcae078ebdd74499a63310fa184928ff;;;;;;;;;;;;;;;
;;What currencies are used in the country whose capital is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/capital> <A> . ?x <http://dbpedia.org/property/currency> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/capital> ?a . ?x <http://dbpedia.org/property/currency> ?uri };e7f54b79284844b194bfdd2380efe154;;;;;;;;;;;;;;;
;;What currencies have been prevalent in the country whose national anthem is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/anthem> <A> . ?x <http://dbpedia.org/ontology/currency> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/anthem> ?a . ?x <http://dbpedia.org/ontology/currency> ?uri };a0e58ea11b974c7a85d86e9f454b77c8;;;;;;;;;;;;;;;
;Computer;What developed <A>?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/developer> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/developer> ?uri };8cc928e4d47048b1861ea9bb7b35471e;;;;;;;;;;;;;;;
;General;What did <A>'s father die from?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/child> <A> . ?x <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/child> ?a . ?x <http://dbpedia.org/ontology/deathCause> ?uri };5fc0f9b047174d33bd4225a3d24e5f30;;;;;;;;;;;;;;;
;Music;What did other artists associated with <A> make?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/associatedBand> <A> . ?x <http://dbpedia.org/ontology/occupation> ?uri . ?x a <http://dbpedia.org/ontology/Artist> };select distinct ?a where { ?x <http://dbpedia.org/ontology/associatedBand> ?a . ?x <http://dbpedia.org/ontology/occupation> ?uri . ?x a <http://dbpedia.org/ontology/Artist> };ebe0a1b44e2c4bb081fc827147037d26;;;;;;;;;;;;;;;
;General;What did the people buried in <A> die of?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/restingPlace> <A> . ?x <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/restingPlace> ?a . ?x <http://dbpedia.org/ontology/deathCause> ?uri };17a32c37985d4016a2887aaeae4c165c;;;;;;;;;;;;;;;
;Sport;What discipline was <A> about ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/discipline> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/discipline> ?uri };8745414c54fd44fc805e024437bff491;;;;;;;;;;;;;;;
;;What disease led to the demise of <A> and <B> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/deathCause> ?uri . <B> <http://dbpedia.org/ontology/deathCause> ?uri . ?uri a <http://dbpedia.org/ontology/Disease> };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/deathCause> ?uri . ?b <http://dbpedia.org/ontology/deathCause> ?uri . ?uri a <http://dbpedia.org/ontology/Disease> };9077ab52a3a64bf292bf4d297b63970e;;;;;;;;;;;;;;;
;;What do <B> and <A> do for a living?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/occupation> ?uri . <B> <http://dbpedia.org/ontology/occupation> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/occupation> ?uri . ?b <http://dbpedia.org/ontology/occupation> ?uri };86a47aa322204efb92fe728b58696cf5;;;;;;;;;;;;;;;
;Economy;What do the banks owned by <A> produce?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/parentCompany> <A> . ?x <http://dbpedia.org/property/products> ?uri . ?x a <http://dbpedia.org/ontology/Bank> };select distinct ?a where { ?x <http://dbpedia.org/ontology/parentCompany> ?a . ?x <http://dbpedia.org/property/products> ?uri . ?x a <http://dbpedia.org/ontology/Bank> };5a074df3521141adb1aefaec144c1510;;;;;;;;;;;;;;;
;General;What do the relatives of <A> do?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/relation> <A> . ?x <http://dbpedia.org/property/occupation> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/relation> ?a . ?x <http://dbpedia.org/property/occupation> ?uri };02d9f9ed093c4c9bac55160e89a71635;;;;;;;;;;;;;;;
;;What do typically <A> work for?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/type> <A> . ?x <http://dbpedia.org/property/purpose> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/type> ?a . ?x <http://dbpedia.org/property/purpose> ?uri };285b636ff13c48e1bcd7306d6a9b680a;;;;;;;;;;;;;;;
;Geography;what does the <A> flow into?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/inflow> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/inflow> ?uri };84d8ee90740d450784488c785a892205;;;;;;;;;;;;;;;
;;What does the bridge go over, which is in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/locatedInArea> <A> . ?x <http://dbpedia.org/property/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };select distinct ?a where { ?x <http://dbpedia.org/ontology/locatedInArea> ?a . ?x <http://dbpedia.org/property/crosses> ?uri . ?x a <http://dbpedia.org/ontology/Bridge> };9d6f9d9b1c1e422e9a87fbf9f54e9197;;;;;;;;;;;;;;;
;General;What does the famous relative of <A> do for a living?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/relatives> <A> . ?x <http://dbpedia.org/ontology/occupation> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/relatives> ?a . ?x <http://dbpedia.org/ontology/occupation> ?uri };b9d3a2fe75124f64855ddc9e0f97e76d;;;;;;;;;;;;;;;
;Geography;What does the river end on whose border we find in <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/border> <A> . ?x <http://dbpedia.org/ontology/mouthCountry> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/border> ?a . ?x <http://dbpedia.org/ontology/mouthCountry> ?uri };9202537eff6a4bbba5a512ca97ef35ff;;;;;;;;;;;;;;;
;Geography;What does the river flow into, whose left tributary is <A>?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/ontology/leftTributary> <A> . ?x <http://dbpedia.org/ontology/mouthCountry> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/leftTributary> ?a . ?x <http://dbpedia.org/ontology/mouthCountry> ?uri };583ab0d388bd4c158b0862155dc190de;;;;;;;;;;;;;;;
;;What ethinicity of <B> is also the state of origin of <A> ?;SELECT DISTINCT ?uri where { <B> <http://dbpedia.org/ontology/ethnicity> ?uri . <A> <http://dbpedia.org/ontology/stateOfOrigin> ?uri };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/ethnicity> ?uri . ?a <http://dbpedia.org/ontology/stateOfOrigin> ?uri };fbc52b963d5141a6b89216bae276bf21;;;;;;;;;;;;;;;
;;What ethnicity do people in <A> belong to?;SELECT DISTINCT ?uri where { ?x <http://dbpedia.org/property/residence> <A> . ?x <http://dbpedia.org/ontology/ethnicity> ?uri . ?x a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?x <http://dbpedia.org/property/residence> ?a . ?x <http://dbpedia.org/ontology/ethnicity> ?uri . ?x a <http://dbpedia.org/ontology/Person> };0d93df312f8448acb89d604531f0dcc3;;;;;;;;;;;;;;;
;;What faith do <A> and <B> follow?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/religion> ?uri . <B> <http://dbpedia.org/ontology/religion> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/religion> ?uri . ?b <http://dbpedia.org/ontology/religion> ?uri };93b33f2e4d4f4d07a6dbd2be5baba794;;;;;;;;;;;;;;;
;;What faith of <B> is also the acadmeic interest of <A> ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/fields> ?uri . <B> <http://dbpedia.org/property/religion> ?uri };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/fields> ?uri . ?b <http://dbpedia.org/property/religion> ?uri };efe69ad1cb94450398a0a0a408332d63;;;;;;;;;;;;;;;
